Rank,Team,S,W-L,Kills,Errors,Total Attacks,Per Set
1,McKendree (MIVA),94,14-12,"1,183",402,"2,748",29.23
2,North Greenville (Conference Carolinas),94,15-9,"1,141",450,"2,668",28.38
3,Barton (Conference Carolinas),92,12-13,941,456,"2,601",28.27
4,Lindenwood (MIVA),102,16-12,"1,325",436,"2,883",28.26
5,UC Irvine (Big West),117,20-11,"1,549",472,"3,306",28.26
6,Ball St. (MIVA),113,21-10,"1,438",473,"3,185",28.19
7,Maryville (MO) (DI Independent),105,21-8,"1,217",485,"2,920",27.81
8,Benedict (SIAC),76,3-17,698,493,"2,113",27.80
9,FDU (NEC),99,12-15,"1,129",525,"2,740",27.68
10,Emmanuel (GA) (Conference Carolinas),101,9-19,"1,136",519,"2,790",27.62
11,Merrimack (NEC),88,9-16,986,430,"2,426",27.57
12,Belmont Abbey (Conference Carolinas),97,21-5,"1,156",423,"2,673",27.56
13,Roberts Wesleyan (ECC),84,8-16,850,478,"2,306",27.45
14,Sacred Heart (NEC),118,12-20,"1,393",580,"3,232",27.39
15,Stanford (MPSF),99,14-12,"1,199",421,"2,710",27.37
16,UC Santa Barbara (Big West),110,9-18,"1,292",519,"2,991",27.19
17,Pepperdine (MPSF),103,17-11,"1,275",432,"2,791",27.10
18,LIU (NEC),96,14-13,"1,094",428,"2,601",27.09
19,King (TN) (Conference Carolinas),92,7-21,"1,006",482,"2,492",27.09
20,Lewis (MIVA),117,15-15,"1,424",478,"3,158",26.99
21,George Mason (EIVA),107,18-10,"1,306",457,"2,886",26.97
22,Mount Olive (Conference Carolinas),96,17-10,"1,145",412,"2,585",26.93
23,Erskine (Conference Carolinas),85,13-11,996,436,"2,286",26.89
24,Purdue Fort Wayne (MIVA),99,14-12,"1,170",429,"2,662",26.89
24,Tusculum (DI Independent),108,8-23,"1,174",570,"2,904",26.89
26,D'Youville (NEC),82,10-13,950,426,"2,204",26.88
27,St. Thomas Aquinas (ECC),78,10-12,829,439,"2,090",26.79
28,American Int'l (ECC),70,2-18,676,468,"1,874",26.77
29,Loyola Chicago (MIVA),106,19-10,"1,369",378,"2,832",26.72
30,Queens (NC) (MIVA),108,9-21,"1,193",513,"2,880",26.67
31,Saint Francis (PA) (NEC),113,21-9,"1,345",435,"3,011",26.65
32,Fort Valley St. (SIAC),81,17-9,911,340,"2,156",26.62
33,Ohio St. (MIVA),121,22-9,"1,561",549,"3,219",26.60
34,BYU (MPSF),98,16-9,"1,197",420,"2,593",26.46
35,CUI (MPSF),89,6-19,959,404,"2,338",26.27
36,Princeton (EIVA),92,12-12,"1,090",445,"2,409",26.18
37,Kentucky St. (SIAC),74,6-17,614,463,"1,937",26.18
38,Grand Canyon (MPSF),110,26-5,"1,413",434,"2,853",25.94
39,Harvard (EIVA),96,12-13,"1,071",427,"2,482",25.85
40,Quincy (MIVA),83,5-19,893,398,"2,145",25.84
41,Southern California (MPSF),109,13-15,"1,294",475,"2,814",25.82
42,Missouri S&T (DI Independent),75,10-12,838,346,"1,930",25.73
43,Long Beach St. (Big West),107,27-3,"1,325",385,"2,745",25.65
44,Penn St. (EIVA),116,23-7,"1,403",471,"2,975",25.65
45,Daemen (NEC),90,20-6,"1,111",349,"2,298",25.53
46,Lees-McRae (Conference Carolinas),97,2-26,886,605,"2,472",25.48
47,CSUN (Big West),111,13-16,"1,368",500,"2,822",25.42
48,NJIT (EIVA),102,11-15,"1,216",472,"2,593",25.42
49,UC San Diego (Big West),97,12-15,"1,050",420,"2,464",25.40
50,Hawaii (Big West),106,23-7,"1,341",407,"2,669",25.18
