Rank,Team,S,W-L,Block Solos,Block Assists,TB,Per Set
1,Southern California (MPSF),79,19-3,28,386,221.0,2.797
2,Long Beach St. (Big West),78,23-1,27,366,210.0,2.692
3,Loyola Chicago (MIVA),85,21-2,49,344,221.0,2.600
4,Barry (DI Independent),85,10-13,31,378,220.0,2.588
5,Princeton (EIVA),73,11-9,43,283,184.5,2.527
6,LIU (NEC),85,17-5,39,340,209.0,2.459
7,Lincoln Memorial (DI Independent),70,19-1,51,240,171.0,2.443
8,Penn St. (EIVA),75,8-14,40,284,182.0,2.427
9,Belmont Abbey (Conference Carolinas),75,14-8,53,257,181.5,2.420
10,Quincy (MIVA),99,8-17,97,284,239.0,2.414
11,UCLA (MPSF),76,17-4,26,314,183.0,2.408
12,Hawaii (Big West),90,22-3,35,361,215.5,2.394
13,Barton (Conference Carolinas),89,15-11,74,275,211.5,2.376
14,BYU (MPSF),92,17-7,42,350,217.0,2.359
15,CSUN (Big West),88,16-8,41,333,207.5,2.358
16,Ball St. (MIVA),110,17-11,51,414,258.0,2.345
17,Benedict (SIAC),67,10-9,98,118,157.0,2.343
18,Grand Canyon (MPSF),88,15-9,40,329,204.5,2.324
19,St. Thomas Aquinas (ECC),75,13-9,45,252,171.0,2.280
20,UC Irvine (Big West),74,16-6,38,259,167.5,2.264
21,Mount Olive (Conference Carolinas),69,18-3,41,227,154.5,2.239
22,George Mason (EIVA),82,13-10,83,197,181.5,2.213
23,Lewis (MIVA),111,20-8,40,411,245.5,2.212
24,Thomas More (DI Independent),63,7-11,65,141,135.5,2.151
25,CUI (MPSF),93,9-16,58,281,198.5,2.134
26,Harvard (EIVA),68,9-10,41,208,145.0,2.132
27,UC San Diego (Big West),88,17-7,27,319,186.5,2.119
28,Daemen (NEC),75,11-10,59,198,158.0,2.107
29,Purdue Fort Wayne (MIVA),88,11-12,53,262,184.0,2.091
30,Queens (NC) (MIVA),101,10-17,68,285,210.5,2.084
31,Missouri S&T (DI Independent),78,10-13,56,209,160.5,2.058
32,Erskine (Conference Carolinas),78,8-15,42,233,158.5,2.032
33,McKendree (MIVA),97,17-7,36,322,197.0,2.031
34,Maryville (MO) (DI Independent),84,16-8,50,233,166.5,1.982
35,Stanford (MPSF),76,9-12,20,261,150.5,1.980
36,Pepperdine (MPSF),78,15-7,26,256,154.0,1.974
37,D'Youville (NEC),69,6-13,54,163,135.5,1.964
38,NJIT (EIVA),80,10-12,36,239,155.5,1.944
39,Sacred Heart (EIVA),74,6-15,38,211,143.5,1.939
40,Central St. (OH) (SIAC),76,6-16,41,210,146.0,1.921
41,Menlo (MPSF),74,9-12,39,206,142.0,1.919
42,FDU (NEC),72,8-11,44,187,137.5,1.910
43,Catawba (DI Independent),77,12-10,33,228,147.0,1.909
44,Tusculum (DI Independent),91,14-11,72,199,171.5,1.885
45,Merrimack (DI Independent),67,13-6,20,208,124.0,1.851
46,Rockhurst (DI Independent),100,18-10,78,213,184.5,1.845
47,Dominican (NY) (ECC),92,6-20,47,244,169.0,1.837
48,Fort Valley St. (SIAC),71,13-9,33,194,130.0,1.831
49,UC Santa Barbara (Big West),84,11-12,25,254,152.0,1.810
50,Saint Francis (NEC),79,10-12,23,235,140.5,1.778
