Rank,Player,Cl,Ht,Pos,S,Digs,Per Set
1,"Trevor Kennan, George Mason (EIVA)",So.,6-2,,3,11,3.67
2,"Justin Lui, Stanford (MPSF)",Fr.,5-10,,6,19,3.17
3,"Christian Phung, North Greenville (Conference Carolinas)",So.,6-1,,7,19,2.71
4,"Martin Lallemand, Ohio St. (MIVA)",Jr.,6-4,,3,8,2.67
4,"Cole Pender, UCLA (MPSF)",So.,6-2,,6,16,2.67
6,"Joel Schneidmiller, UC Irvine (Big West)",Jr.,6-6,,3,7,2.33
6,"Patrick Vorenkamp, UC Irvine (Big West)",Fr.,6-6,,3,7,2.33
8,"Chris Hall, Southern California (MPSF)",Jr.,6-2,,5,11,2.20
9,"Joe Kelly, Princeton (EIVA)",Jr.,6-2,,8,17,2.13
10,"Noah Dyer, Pepperdine (MPSF)",Sr.,6-5,,3,6,2.00
10,"Davis Lau, UC Irvine (Big West)",Fr.,5-7,,3,6,2.00
10,"Diego Perez, Pepperdine (MPSF)",Fr.,6-0,,3,6,2.00
10,"Michael Wright, Ohio St. (MIVA)",Fr.,6-4,,3,6,2.00
10,"Zach Yerington, Daemen (DI Independent)",Sr.,6-5,,3,6,2.00
15,"Davide Gardini, BYU (MPSF)",So.,6-9,,8,15,1.88
16,"Ryan Coenen, Lewis (MIVA)",Sr.,6-9,,6,11,1.83
16,"Gage Worsley, Hawaii (Big West)",Jr.,6-1,,6,11,1.83
18,"Paul Bischoff, Stanford (MPSF)",Sr.,6-5,,5,9,1.80
19,"Gabi Garcia Fernandez, BYU (MPSF)",Jr.,6-7,,8,14,1.75
19,"Chaz Hafer, Urbana (DI Independent)",Jr.,6-0,,4,7,1.75
21,"Andrew Hillman, Ohio St. (MIVA)",Sr.,6-3,,3,5,1.67
21,"Austin Wilmot, Pepperdine (MPSF)",Jr.,6-10,,3,5,1.67
23,"Cole Schlothauer, Loyola Chicago (MVC)",Fr.,6-5,,8,13,1.63
24,"Kyle Bugee, Lewis (MIVA)",Sr.,6-5,,7,11,1.57
25,"Ian Cowen, Loyola Chicago (MVC)",Sr.,6-5,,8,12,1.50
26,"Marty Jepsen, Lewis (MIVA)",Fr.,6-1,,7,10,1.43
27,"Brandon Browning, Southern California (MPSF)",So.,6-4,,5,7,1.40
27,"Cole Paxson, Southern California (MPSF)",Jr.,5-11,,5,7,1.40
29,"Nico Posivak, Princeton (EIVA)",Fr.,5-11,,8,11,1.38
29,"Wil Stanley, BYU (MPSF)",Sr.,6-4,,8,11,1.38
31,"Zach Eschenberg, BYU (MPSF)",Sr.,6-6,,6,8,1.33
31,"Dalen Instenes, Lewis (MIVA)",Sr.,6-5,,6,8,1.33
31,"JB Kam, UC Irvine (Big West)",Sr.,6-3,,3,4,1.33
31,"Luis Velez, George Mason (EIVA)",Jr.,6-4,,3,4,1.33
35,"Jackson Gilbert, North Greenville (Conference Carolinas)",Sr.,6-6,,7,9,1.29
36,"Tomas Beralas, Urbana (DI Independent)",Jr.,6-0,,4,5,1.25
37,"Sergio Carrillo, North Greenville (Conference Carolinas)",So.,6-5,,5,6,1.20
37,"Kyle Gear, Southern California (MPSF)",Jr.,6-9,,5,6,1.20
39,"Parker Dixon, Princeton (EIVA)",Sr.,6-6,,7,8,1.14
39,"Jerod Nelsen, Princeton (EIVA)",So.,6-7,,7,8,1.14
41,"Devin Joslyn, Loyola Chicago (MVC)",Jr.,6-6,,8,9,1.13
42,"Jake Boldog, North Greenville (Conference Carolinas)",Sr.,5-11,,6,6,1.00
42,"Jack Brinkman, Urbana (DI Independent)",Fr.,6-2,,4,4,1.00
42,"Sam Greenslade, George Mason (EIVA)",Sr.,6-7,,3,3,1.00
42,"Kurt Klamfoth, Urbana (DI Independent)",Fr.,6-5,,4,4,1.00
42,"Alex  Knight, UCLA (MPSF)",Fr.,6-5,,6,6,1.00
42,"Greg Luck, Princeton (EIVA)",Sr.,6-5,,8,8,1.00
42,"Parker Mikesch, Ohio St. (MIVA)",So.,5-11,,3,3,1.00
42,"Rob Mullahey, Pepperdine (MPSF)",Sr.,6-4,,3,3,1.00
42,"Alexandre Nsakanda, UC Irvine (Big West)",So.,6-4,,3,3,1.00
42,"Edgar  Sanchez , Charleston (WV) (EIVA)",Jr.,0-0,,6,6,1.00
42,"Scott Stadick, UC Irvine (Big West)",Sr.,7-0,,3,3,1.00
42,"Hayden Wagner, George Mason (EIVA)",Sr.,6-6,,3,3,1.00
54,"Alexander Mrkalj, Princeton (EIVA)",Fr.,6-5,,8,7,0.88
55,"Taylan Cook, Loyola Chicago (MVC)",Fr.,6-2,,7,6,0.86
55,"Sean Kohlhase, King (TN) (Conference Carolinas)",Jr.,6-4,OH,7,6,0.86
57,"Austin Matautia, UCLA (MPSF)",Sr.,6-4,,6,5,0.83
57,"JP Reilly, Stanford (MPSF)",Jr.,6-4,,6,5,0.83
57,"Jack Sarnowski, King (TN) (Conference Carolinas)",Fr.,6-3,S,6,5,0.83
57,"Jakob Thelle, Hawaii (Big West)",So.,6-6,,6,5,0.83
61,"Billy Fauntleroy, Southern California (MPSF)",So.,6-8,,4,3,0.75
61,"George Huhmann, Princeton (EIVA)",Sr.,6-11,,8,6,0.75
63,"Suetonius Harris, King (TN) (Conference Carolinas)",So.,6-1,OH,7,5,0.71
63,"Joshua Kim, King (TN) (Conference Carolinas)",Jr.,6-6,RS,7,5,0.71
63,"Cade McGee, North Greenville (Conference Carolinas)",So.,6-1,,7,5,0.71
66,"Colton Cowell, Hawaii (Big West)",Sr.,6-1,,6,4,0.67
66,"Kevin Kauling, Lewis (MIVA)",Fr.,6-8,,6,4,0.67
66,"Michael Krueger, Daemen (DI Independent)",So.,6-2,,3,2,0.67
66,"Mads Kyed Jensen, UCLA (MPSF)",Fr.,6-10,,6,4,0.67
66,"Jack Reese, George Mason (EIVA)",Jr.,6-8,,3,2,0.67
66,"Max Senica, Charleston (WV) (EIVA)",Jr.,6-2,,6,4,0.67
66,"Scott Solan, Pepperdine (MPSF)",Fr.,6-8,,3,2,0.67
66,"Jake Vorburger, Charleston (WV) (EIVA)",Fr.,0-0,,6,4,0.67
74,"Lachlan Bray, Charleston (WV) (EIVA)",So.,6-5,,5,3,0.60
74,"Rado Parapunov, Hawaii (Big West)",Sr.,6-9,,5,3,0.60
76,"Tyler Chavez, Urbana (DI Independent)",Fr.,6-2,,4,2,0.50
76,"Liam Morrissey, Urbana (DI Independent)",Fr.,6-5,,4,2,0.50
76,"Diego Villafane, Charleston (WV) (EIVA)",So.,6-1,,6,3,0.50
79,"Brandon Baker, North Greenville (Conference Carolinas)",Jr.,6-6,,7,3,0.43
80,"Guilherme Voss, Hawaii (Big West)",Fr.,6-7,,5,2,0.40
81,"Miki Jauhiainen, BYU (MPSF)",Sr.,6-9,,8,3,0.38
82,"Samuel Clark, Ohio St. (MIVA)",Fr.,6-6,,3,1,0.33
82,"Reese Devilbiss, Ohio St. (MIVA)",Sr.,6-2,,3,1,0.33
82,"Daenan Gyimah, UCLA (MPSF)",Sr.,6-8,,6,2,0.33
82,"JT Martin, Pepperdine (MPSF)",Fr.,6-6,,3,1,0.33
82,"Akhil Tangutur, UC Irvine (Big West)",Fr.,6-2,,3,1,0.33
87,"Douglas Florencio, King (TN) (Conference Carolinas)",Jr.,6-7,MB,7,2,0.29
87,"Julian Young, King (TN) (Conference Carolinas)",Sr.,6-5,MB,7,2,0.29
89,"Sam Hargett, Urbana (DI Independent)",Fr.,6-2,,4,1,0.25
90,"Patrick Gasman, Hawaii (Big West)",Sr.,6-10,,5,1,0.20
91,"James Anastassiades, Hawaii (Big West)",Sr.,6-5,,6,1,0.17
91,"Gabriel Miranda, Stanford (MPSF)",Fr.,6-6,,6,1,0.17
91,"TJ Murray, Lewis (MIVA)",Jr.,6-9,,6,1,0.17
91,"Ismael  Sneed, Charleston (WV) (EIVA)",Fr.,0-0,,6,1,0.17
91,"Felipe de Brito Ferreira, BYU (MPSF)",Jr.,6-9,,6,1,0.17
96,"Tyler Mitchem, Lewis (MIVA)",Jr.,6-10,,7,1,0.14
