Rank,Player,Cl,Ht,Pos,S,Assists,Per Set
1,"Sean Califf, Purdue Fort Wayne (MIVA)",Jr.,6-4,S,6,75,12.50
2,"Blake Crisp, UC San Diego (Big West)",Sr.,6-3,S,7,78,11.14
3,"Chris Hall, Southern California (MPSF)",Sr.,6-2,S,15,160,10.67
3,"Aidan Knipe, Long Beach St. (Big West)",So.,6-3,S,3,32,10.67
5,"Henrik Westhoff, Emmanuel (GA) (Conference Carolinas)",Jr.,6-6,S,5,50,10.00
6,"Patrick Paragas, UC Santa Barbara (Big West)",So.,6-0,S,12,115,9.58
7,"Matthew Maxwell, Belmont Abbey (Conference Carolinas)",Jr.,5-10,L,8,76,9.50
7,"Ryan Serrano, McKendree (MIVA)",Sr.,6-4,S,8,76,9.50
9,"Heath Hughes, Grand Canyon (MPSF)",Jr.,6-7,S,14,130,9.29
10,"Sergio Carrillo, North Greenville (Conference Carolinas)",Sr.,6-6,S,4,34,8.50
11,"James Bardin, Harvard (EIVA)",Fr.,6-7,S,10,80,8.00
12,"Zach Talamoa, George Mason (EIVA)",Jr.,5-11,S,7,55,7.86
13,"Bartosz Sławiński, BYU (MPSF)",So.,6-2,S,6,47,7.83
14,"Oliver Merritt, Mount Olive (Conference Carolinas)",Fr.,6-7,S,5,39,7.80
15,"Connor Sheehan, Lindenwood (MIVA)",So.,6-0,S,9,69,7.67
16,"Griffin Fieseler, NJIT (EIVA)",So.,6-7,S,7,52,7.43
17,"Bradley Peters, Lees-McRae (Conference Carolinas)",Jr.,6-2,S,3,22,7.33
18,"Kasey Clouet, LIU (DI Independent)",Fr.,6-6,S,8,51,6.38
19,"Shaun Kampshoff, Tusculum (DI Independent)",Sr.,6-3,S,7,44,6.29
20,"Luke Lentin, Ohio St. (MIVA)",Sr.,6-3,S,7,38,5.43
21,"Henry Wedbush, Princeton (EIVA)",Fr.,6-4,,6,18,3.00
22,"Troy Gooch, Purdue Fort Wayne (MIVA)",Sr.,6-0,L,6,8,1.33
23,"Steven Nalls, Lees-McRae (Conference Carolinas)",Jr.,6-0,L,3,3,1.00
24,"Daniel Cerqua, Belmont Abbey (Conference Carolinas)",Sr.,5-9,L/DS,8,7,0.88
25,"Jason Shen, Harvard (EIVA)",Sr.,5-11,L,10,7,0.70
26,"M.J. Doyle, Lees-McRae (Conference Carolinas)",Jr.,6-2,OH,3,2,0.67
26,"Colin Ensalaco, Ball St. (MIVA)",Sr.,6-1,L,6,4,0.67
26,"Parker Mikesch, Ohio St. (MIVA)",Sr.,5-11,L,9,6,0.67
26,"Alex Nikolov, Long Beach St. (Big West)",Fr.,6-7,OH,3,2,0.67
26,"Ryan Pecsok, UC Santa Barbara (Big West)",So.,5-10,L,12,8,0.67
31,"Francisco Comas, McKendree (MIVA)",Sr.,5-6,L,8,5,0.63
31,"Omar Hoyos, George Mason (EIVA)",So.,6-6,OH,8,5,0.63
33,"Tobi Azeez, Mount Olive (Conference Carolinas)",Jr.,6-4,OH,5,3,0.60
34,"Dane Loup, Tusculum (DI Independent)",So.,6-0,OH,7,4,0.57
35,"Brandon Baker, North Greenville (Conference Carolinas)",Sr.,6-6,OH,4,2,0.50
35,"Davide Gardini, BYU (MPSF)",Sr.,6-9,OH,6,3,0.50
35,"Riley Mulkey, Belmont Abbey (Conference Carolinas)",Sr.,6-5,MB,8,4,0.50
35,"Matt Suh, Princeton (EIVA)",Fr.,5-8,,6,3,0.50
39,"Matthew Menosky, Saint Francis (EIVA)",So.,6-0,L,11,5,0.45
40,"Danny Seliger, LIU (DI Independent)",Fr.,5-11,L,9,4,0.44
41,"Matteo Miselli, Belmont Abbey (Conference Carolinas)",Jr.,6-2,OH,7,3,0.43
41,"Matt Palma, UC San Diego (Big West)",Sr.,6-0,L,7,3,0.43
41,"Cole Paxson, Southern California (MPSF)",Sr.,5-11,L,14,6,0.43
41,"Cole Udall, Grand Canyon (MPSF)",Jr.,6-3,L,14,6,0.43
45,"Edgerrin Austin, Erskine (Conference Carolinas)",So.,5-11,OH,10,4,0.40
45,"Nicklas Eichenberger, Emmanuel (GA) (Conference Carolinas)",So.,5-11,L,5,2,0.40
45,"Dominic Hagerty, Mount Olive (Conference Carolinas)",So.,6-3,S,5,2,0.40
48,"Jack Bolz, George Mason (EIVA)",So.,6-7,OPP,8,3,0.38
48,"Jens Feldthus, NJIT (EIVA)",Sr.,6-3,,8,3,0.38
48,"Colin Heath, George Mason (EIVA)",So.,6-6,OH,8,3,0.38
48,"Joe Kennedy, NJIT (EIVA)",Jr.,6-0,,8,3,0.38
