Rank,Team,S,W-L,Assists,Per Set
1,Ball St. (MIVA),9,1-1,114,12.67
2,Loyola Chicago (MIVA),7,2-0,86,12.29
3,George Mason (EIVA),9,1-1,105,11.67
4,Lewis (MIVA),10,3-0,114,11.40
5,Belmont Abbey (Conference Carolinas),4,1-0,44,11.00
6,Lincoln Memorial (DI Independent),13,1-3,138,10.62
7,Saint Francis (EIVA),18,1-4,191,10.61
8,Quincy (MIVA),9,3-0,94,10.44
9,Limestone (DI Independent),8,1-1,83,10.38
10,McKendree (MIVA),3,1-0,31,10.33
11,North Greenville (Conference Carolinas),4,1-0,40,10.00
12,Erskine (Conference Carolinas),11,2-1,106,9.64
13,Ohio St. (MIVA),6,1-1,57,9.50
14,Queens (NC) (DI Independent),20,1-4,182,9.10
15,King (TN) (Conference Carolinas),5,2-0,40,8.00
16,Tusculum (DI Independent),7,0-2,55,7.86
17,Penn St. (EIVA),6,1-1,45,7.50
18,Alderson Broaddus (DI Independent),3,1-1,22,7.33
19,Lees-McRae (Conference Carolinas),3,0-1,19,6.33
