Rank,Team,S,W-L,Block Solos,Block Assists,Per Set
1,Lewis (MIVA),7,1-1,2,38,3.00
2,UC Santa Barbara (Big West),11,3-0,7,45,2.68
3,George Mason (EIVA),7,2-0,6,22,2.43
4,UC Irvine (Big West),9,2-0,2,39,2.39
5,Loyola Chicago (MIVA),8,1-1,3,32,2.38
5,NJIT (Independent),8,0-2,6,26,2.38
7,UCLA (MPSF),7,2-0,4,24,2.29
8,Ball St. (MIVA),8,2-0,0,34,2.13
9,Grand Canyon (MPSF),11,1-2,5,36,2.09
10,Pepperdine (MPSF),7,2-0,0,29,2.07
11,Stanford (MPSF),6,2-0,3,18,2.00
11,Purdue Fort Wayne (MIVA),6,2-0,0,24,2.00
13,Princeton (EIVA),13,0-4,2,45,1.88
13,Harvard (EIVA),13,0-3,7,35,1.88
15,Queens (NC) (DI Independent),3,0-1,1,9,1.83
16,CUI (MPSF),10,0-3,4,26,1.70
17,CSUN (Big West),14,2-1,4,37,1.61
18,Penn St. (EIVA),4,0-1,0,12,1.50
18,UC San Diego (Big West),7,0-2,3,15,1.50
18,Barton (Conference Carolinas),4,0-1,1,10,1.50
21,Ohio St. (MIVA),7,2-0,0,17,1.21
22,Charleston (WV) (EIVA),3,0-1,1,5,1.17
23,North Greenville (Conference Carolinas),6,0-2,0,13,1.08
24,Long Beach St. (Big West),9,3-0,0,18,1.00
